app,kernel,class,confidence,stability,dram_sol,lfmr,mpki,sect,occ,ai,t_base_ms,share_pct,s_core,s_mem,screened,signature
hb_blas_gemm,cublasLt::splitKreduce_kernel,G1-bandwidth,low,stable,12.5,0.506,121.7,2.7,31.7,2.672,4.653,8.69,1.71,1.0,False,mismatch
hb_blas_gemm,matrix_mul,G3-l2-reuse,low,stable,2.6,0.154,12.57,3.6,22.6,25.071,0.031,0.06,1.855,1.002,True,
hb_blas_gemmBatched,Kernel2,G1-bandwidth,low,stable,31.1,0.628,20.0,1.8,71.7,25.449,,,,,True,
hb_blas_gemmStridedBatched,Kernel2,G1-bandwidth,low,stable,30.5,0.782,19.08,2.8,72.2,28.117,,,,,True,
hb_blockAccess,reference,G1-bandwidth,high,stable,95.5,0.801,1040.84,16.0,91.4,0.455,163.936,49.96,1.004,1.359,False,match
hb_blockAccess,256,G1-bandwidth,low,stable,95.4,0.66,615.73,16.0,92.1,0.914,,,,,True,
hb_blockexchange,k,G1-bandwidth,medium,stable,83.9,0.367,369.3,16.0,88.1,0.988,308.85,100.0,1.128,1.302,False,match
hb_bm3d,block_matching,G3-l2-reuse,low,stable,0.3,0.215,0.23,27.4,64.8,2064.887,2504.1,28.26,1.999,1.0,False,match
hb_bm3d,aggregate_block,G3-l2-reuse,medium,stable,34.6,0.219,139.05,2.5,93.0,4.841,1453.178,16.4,1.723,1.019,False,match
hb_bm3d,DCT2D8x8,G1-bandwidth,high,stable,93.1,0.503,391.04,4.0,82.8,1.848,1573.488,17.76,1.382,1.357,False,match
hb_bm3d,IDCT2D8x8,G1-bandwidth,high,stable,93.6,0.5,388.79,4.0,82.7,1.859,1548.745,17.48,1.403,1.372,False,match
hb_bm3d,hard_treshold_block,G1-bandwidth,high,stable,72.4,0.503,52.82,3.9,77.2,7.231,1292.804,14.59,1.982,1.104,False,mismatch
hb_bm3d,get_block,G1-bandwidth,medium,stable,85.2,0.018,128.75,4.0,89.9,5.531,478.395,5.4,1.081,1.318,False,match
hb_bonds,bonds,G3-l2-reuse,medium,stable,5.2,0.006,4.11,23.7,60.6,15.163,10843.796,100.0,1.931,1.001,False,match
hb_boxfilter,col_kernel,G4-latency,medium,stable,4.5,0.501,87.73,4.0,4.2,4.586,5291.459,51.23,1.779,1.0,False,mismatch
hb_boxfilter,row_kernel,G5-compute,high,stable,7.6,0.412,9.4,3.9,94.0,21.973,5037.715,48.77,1.999,1.0,False,match
hb_bscan,binary_scan,G0-nosignal,low,stable,,,,,,,,,,,True,
hb_bsearch,kernel_BS,G3-l2-reuse,medium,stable,35.0,0.134,170.41,24.3,93.9,3.457,1571.82,25.06,1.917,0.992,False,match
hb_bspline_vgh,bspline,G2-coalescing,high,stable,19.3,0.712,272.61,25.0,16.0,2.899,84.324,100.0,1.795,1.003,False,match
hb_btree,insert_keys,G5-compute,low,stable,15.3,0.138,12.08,4.0,64.7,41.018,,,,,True,
hb_btree,search_b_tree,G1-bandwidth,low,borderline:G1-bandwidth↔G5-compute,18.1,0.467,12.63,4.0,97.2,45.014,,,,,True,
hb_btree,init_btree,G3-l2-reuse,low,borderline:G3-l2-reuse↔G4-latency,0.6,0.275,2840.91,1.0,2.1,0.047,,,,,True,
hb_burger,core,G5-compute,high,stable,16.2,0.388,233.2,10.0,78.0,1.041,6157.26,85.57,2.0,1.0,False,match
hb_burger,update,G1-bandwidth,high,stable,94.6,0.502,1878.82,8.0,83.3,0.188,1037.402,14.42,1.009,1.357,False,match
hb_burger,bound_v,G3-l2-reuse,medium,stable,17.0,0.149,1196.29,31.9,21.6,0.303,0.891,0.01,1.2,1.18,True,
hb_burger,bound_h,G7-dependency,medium,stable,0.6,0.013,16.8,8.0,22.1,21.582,0.21,0.0,1.567,1.064,True,
hb_bwt,bitonic_sort_step,G1-bandwidth,high,stable,57.6,0.629,47.61,4.7,80.4,5.687,559.101,99.82,1.648,1.04,False,mismatch
hb_bwt,generate_table,G1-bandwidth,low,stable,83.0,0.0,60.13,4.0,69.4,10.182,0.298,0.05,1.951,1.226,True,
hb_car,car,G1-bandwidth,high,stable,96.0,0.836,160.77,8.3,97.2,2.784,7130.535,100.0,1.002,1.361,False,match
hb_cbsfil,toCoef2DX,G3-l2-reuse,medium,stable,19.9,0.104,1723.45,32.0,19.4,0.326,2397.97,75.24,1.474,1.066,False,match
hb_cbsfil,toCoef2DY,G1-bandwidth,high,stable,61.6,0.485,1202.49,4.0,24.1,0.323,789.086,24.76,1.211,1.182,False,match
hb_ccsd_trpdrv,ccsd_kernel,G5-compute,high,stable,14.3,0.504,203.86,8.7,63.1,0.702,33.504,100.0,1.995,1.0,False,match
hb_chacha20,test_keystreams,G7-dependency,medium,stable,0.6,0.217,100.08,1.1,3.0,0.372,2514.313,100.0,1.957,1.0,False,match
hb_chemv,chemv_kernel1,G4-latency,medium,borderline:G3-l2-reuse↔G4-latency,0.5,0.373,37.52,1.3,2.1,0.775,669.697,90.56,1.767,1.0,False,mismatch
hb_chemv,chemv_kernel0,G4-latency,medium,borderline:G2-coalescing↔G4-latency,2.3,0.466,444.55,7.0,2.1,1.368,69.82,9.44,1.697,1.005,False,mismatch
hb_clenergy,cenergy,G5-compute,high,stable,0.6,0.536,0.38,4.0,81.2,2172.907,1282.483,100.0,1.999,1.0,False,match
hb_clock,timedReduction,G3-l2-reuse,low,stable,0.0,0.012,0.02,4.0,87.3,15591.024,0.094,100.0,1.954,1.001,True,
hb_cmembench,benchmark_constant,G6-onchip,medium,stable,0.6,0.3,1.85,1.0,31.2,216.049,244.205,100.0,1.814,1.0,False,match
hb_cobahh,cobahh,G1-bandwidth,high,stable,94.5,0.528,103.48,4.0,90.5,8.418,2.531,100.0,1.037,1.304,False,match
hb_collision,checkDuplicates,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G4-latency,0.7,0.289,1371.97,4.0,2.1,0.389,65.56,35.74,1.71,1.0,False,match
hb_colorwheel,color,G1-bandwidth,medium,stable,94.4,0.004,1121.5,4.0,90.2,0.304,4914.866,100.0,1.073,1.332,False,match
hb_compute_score,compute,G1-bandwidth,low,stable,40.2,0.636,48.7,6.5,47.9,1.661,5392.717,99.17,1.809,1.019,False,mismatch
hb_compute_score,reduction,G1-bandwidth,high,stable,92.0,0.742,462.72,10.3,88.9,0.917,44.933,0.83,1.032,1.338,True,
hb_concurrentKernels,clock_block,G7-dependency,low,stable,0.4,0.924,35.95,1.0,2.1,0.844,1998.511,100.0,2.0,1.0,False,match
hb_concurrentKernels,sum,G3-l2-reuse,low,stable,0.7,0.169,1836.07,1.0,2.1,0.105,0.002,0.0,1.585,1.031,True,
hb_contract,contraction,G5-compute,high,stable,6.9,0.078,31.66,7.5,56.0,4.824,22250.0,100.0,2.003,1.001,False,match
hb_conversion,cvt,G1-bandwidth,high,stable,80.4,0.48,219.76,2.6,79.2,1.519,2567.274,100.0,1.264,1.269,False,match
hb_convolution3D,conv3d_s1,G3-l2-reuse,medium,stable,3.5,0.091,2.66,4.5,78.5,168.498,21.522,32.91,1.951,1.0,False,match
hb_convolutionSeparable,conv_rows,G1-bandwidth,high,stable,87.8,0.458,187.54,4.0,94.2,4.317,2781.021,51.37,1.95,1.279,False,match
hb_convolutionSeparable,conv_cols,G1-bandwidth,high,stable,93.6,0.445,199.37,4.0,98.0,4.317,2632.373,48.63,1.424,1.36,False,match
hb_coordinates,transform::transform_kernel,G5-compute,high,stable,34.8,0.337,353.63,16.0,96.6,1.25,8364.921,99.99,2.0,1.0,False,match
hb_coordinates,for_each::static_kernel,G1-bandwidth,low,stable,93.8,0.001,1364.97,16.0,86.9,0.454,1.001,0.01,1.06,1.342,True,
hb_crc64,crc64_kernel,G2-coalescing,medium,borderline:G2-coalescing↔G3-l2-reuse,27.3,0.428,150.17,26.4,63.2,5.305,8.101,100.0,1.45,0.992,False,match
hb_cross,cross_kernel,G1-bandwidth,high,stable,95.8,0.662,646.05,12.0,87.7,0.86,521.437,33.33,1.005,1.36,False,match
hb_crossEntropy,loss_bwd,G1-bandwidth,medium,stable,90.4,0.39,216.67,3.2,93.6,2.421,3636.756,100.0,1.827,1.056,False,mismatch
hb_crs,gcrs_m_1_w_4_coding_dotprod,G1-bandwidth,high,stable,81.4,0.716,143.72,8.0,89.0,5.013,0.419,4.22,1.491,1.169,True,
hb_crs,gcrs_m_1_w_5_coding_dotprod,G1-bandwidth,high,stable,75.7,0.624,107.97,8.6,86.8,6.091,0.48,4.84,1.618,1.15,True,
hb_damage,damage_of_node,G1-bandwidth,low,stable,28.9,0.926,34.4,3.7,71.5,12.804,3491.272,60.11,1.761,1.04,False,mismatch
hb_dct8x8,DCT8x8_kernel,G1-bandwidth,high,stable,94.7,0.502,350.4,4.0,86.7,1.796,262.159,50.0,1.003,1.359,False,match
hb_ddbp,img_integration_kernel,G3-l2-reuse,medium,borderline:G1-bandwidth↔G3-l2-reuse,45.4,0.339,107.71,6.9,73.9,4.29,7.582,0.05,1.163,1.082,True,
hb_ddbp,pad_projections_kernel,G7-dependency,medium,stable,1.5,0.077,286.32,31.4,14.1,1.232,0.026,0.0,1.572,1.004,True,
hb_ddbp,map_boudaries_kernel,G6-onchip,medium,stable,0.6,0.126,97.9,7.7,15.3,1.947,0.008,0.0,1.552,0.988,True,
hb_debayer,malvar_he_cutler_demosaic,G3-l2-reuse,medium,stable,33.8,0.108,20.24,3.3,83.7,33.006,386.464,100.0,1.909,1.059,False,match
hb_depixel,eliminate_crosses,G7-dependency,medium,stable,0.4,0.848,26.37,4.0,2.5,1.015,9635.031,99.94,1.995,1.002,False,match
hb_depixel,check_connect,G5-compute,medium,borderline:G3-l2-reuse↔G5-compute,55.6,0.296,31.77,12.7,90.8,12.778,5.366,0.06,1.98,1.033,True,
hb_determinant,getrf_wo_pivot_params,G7-dependency,medium,stable,3.8,0.346,375.17,2.3,8.1,0.865,,,,,True,
hb_determinant,cub::DeviceReduceSingleTileKernel,G7-dependency,medium,stable,4.5,0.345,1590.89,11.0,16.3,0.288,,,,,True,
hb_determinant,xxtrf4_set_info_ker,G7-dependency,medium,stable,1.3,0.286,22129.87,1.0,2.1,0.0,1.224,12.51,1.662,1.0,False,match
hb_dispatch,EmptyKernel,G7-dependency,medium,stable,1.2,0.27,57812.5,0.0,2.1,0.0,1112.887,100.0,1.65,1.0,False,match
hb_distort,barrel_distort,G3-l2-reuse,medium,stable,18.9,0.23,23.97,5.3,85.3,15.487,73.838,100.0,1.967,1.0,False,match
hb_divergence,div_kernel,G7-dependency,medium,stable,1.3,0.326,1051.82,3.3,13.1,0.279,46.493,100.0,1.701,1.0,False,match
hb_doh,hessian_matrix_det,G3-l2-reuse,medium,stable,19.5,0.118,14.77,4.8,89.2,38.343,2.887,100.0,1.977,1.0,False,match
hb_dpid,kernelDownsampling,G1-bandwidth,low,borderline:G1-bandwidth↔G5-compute,44.9,0.744,29.04,3.0,96.2,13.24,214.583,58.91,1.914,1.02,False,mismatch
hb_dpid,kernelGuidance,G1-bandwidth,high,stable,64.1,0.771,41.16,5.2,94.6,7.348,149.69,41.09,1.84,1.062,False,mismatch
hb_dropout,fused_dropout_kernel,G1-bandwidth,high,stable,93.1,0.447,234.87,4.0,95.0,2.499,749.917,33.34,1.02,1.353,False,match
hb_dslash,dslash,G1-bandwidth,medium,stable,88.6,0.304,771.68,29.8,96.9,0.889,383.052,97.75,1.362,1.269,False,match
hb_dslash,make_back,G3-l2-reuse,low,stable,34.8,0.229,78.36,1.0,49.2,0.066,8.834,2.25,1.993,1.003,False,match
hb_dxtc2,compress,G5-compute,high,stable,0.6,0.475,0.59,3.9,41.0,1190.881,226.992,100.0,2.0,1.0,False,match
hb_easyWave,kernel4,G3-l2-reuse,medium,stable,0.1,0.256,241.88,1.0,2.1,0.07,484.164,69.88,1.655,1.017,False,match
hb_easyWave,kernel3,G2-coalescing,medium,borderline:G1-bandwidth↔G2-coalescing,38.4,0.473,887.44,28.6,31.7,0.378,115.77,16.71,1.327,1.209,False,mismatch
hb_easyWave,kernel,G2-coalescing,medium,borderline:G1-bandwidth↔G2-coalescing,44.2,0.61,886.07,23.9,31.2,0.416,90.761,13.1,1.233,1.257,False,mismatch
hb_easyWave,kernel2,G7-dependency,medium,stable,6.7,0.359,28012.82,0.0,2.1,0.001,2.17,0.31,1.66,1.019,True,
hb_ecdh,k_slow,G5-compute,high,stable,3.4,0.062,1.89,4.0,98.5,377.485,6096.477,69.98,2.0,1.0,False,match
hb_eigenvalue,recalculateEigenIntervals,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G4-latency,0.2,0.278,1.03,5.5,16.7,521.822,4338.779,56.48,1.923,1.0,False,match
hb_eigenvalue,calNumEigenValueInterval,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G4-latency,0.1,0.341,0.53,4.0,16.6,1172.627,3343.851,43.52,1.913,1.0,False,match
hb_eikonal,run_solver,G5-compute,high,stable,2.1,0.542,29.13,4.7,13.7,6.664,901.782,79.35,1.999,1.0,False,match
hb_eikonal,run_check_neighbor,G6-onchip,medium,borderline:G5-compute↔G6-onchip,10.2,0.501,96.84,5.1,26.1,3.579,208.877,18.38,1.99,1.003,False,match
hb_eikonal,run_reduction,G4-latency,medium,borderline:G3-l2-reuse↔G4-latency,2.1,0.371,50.29,1.0,10.4,5.585,25.842,2.27,1.973,1.006,False,mismatch
hb_entropy,entropy,G3-l2-reuse,medium,stable,2.7,0.005,11.62,4.0,86.6,33.484,6516.129,81.17,1.783,0.999,False,match
hb_extend2,kernel_extend2,G3-l2-reuse,medium,stable,0.5,0.001,100.07,1.0,2.1,0.232,1642.278,100.0,1.913,1.0,False,match
hb_extrema,relextrema_1D,G1-bandwidth,high,stable,78.2,0.758,76.29,4.7,76.6,7.914,1264.892,32.2,1.997,1.0,False,mismatch
hb_f16atomic,f16AtomicOnGlobalMem,G3-l2-reuse,medium,stable,1.2,0.043,13.83,0.0,72.3,45.179,1.709,100.0,1.302,0.999,False,mismatch
hb_f16max,hmax,G1-bandwidth,high,stable,95.7,0.668,324.59,4.0,86.5,2.165,6335.876,100.0,1.065,1.347,False,match
hb_f8cast,ref_fp32_cvt_e4m3,G1-bandwidth,high,stable,92.1,0.8,166.85,4.0,79.9,3.596,919.565,25.33,1.415,1.274,False,match
hb_f8cast,fp32_cvt_e4m3,G1-bandwidth,high,stable,93.2,0.801,334.11,4.0,79.5,1.397,892.175,24.57,1.337,1.305,False,match
hb_fdtd3d,finite_difference,G3-l2-reuse,medium,borderline:G1-bandwidth↔G3-l2-reuse,43.5,0.333,79.38,4.0,81.5,3.984,46.935,100.0,1.568,1.148,False,mismatch
hb_fft,ifft1D_512,G5-compute,high,stable,10.0,0.517,192.13,16.0,58.1,0.897,2546.428,50.57,1.999,1.0,False,match
hb_fft,fft1D_512,G5-compute,high,stable,10.2,0.517,194.48,16.0,58.1,0.897,2489.279,49.43,1.999,1.0,False,match
hb_fhd,cmpfhd,G5-compute,high,stable,0.5,0.786,1.08,4.0,92.0,738.914,3591.768,100.0,1.977,0.999,False,match
hb_filter,filter,G1-bandwidth,high,stable,79.2,0.615,139.5,4.0,87.8,2.181,369.353,51.2,1.565,1.171,False,match
hb_flame,kernel_generate_points,G5-compute,low,borderline:G5-compute↔G7-dependency,5.1,0.056,5.81,19.3,31.6,57.967,345.518,62.78,1.907,1.013,False,match
hb_flame,kernel_iterate,G3-l2-reuse,medium,stable,6.9,0.095,21.31,31.7,21.8,18.381,197.02,35.8,1.901,1.001,False,match
hb_flame,kernel_initialize,G3-l2-reuse,low,borderline:G2-coalescing↔G3-l2-reuse,13.3,0.299,27.76,14.5,26.4,15.532,7.808,1.42,1.869,1.0,False,match
hb_flip,flip_kernel,G5-compute,medium,borderline:G1-bandwidth↔G5-compute,43.8,0.504,26.1,4.0,92.1,25.199,,,,,True,
hb_floydwarshall,floydWarshallPass,G1-bandwidth,high,stable,79.6,0.564,186.31,2.7,72.6,2.137,1842.503,100.0,1.801,1.001,False,mismatch
hb_fluidSim,lbm,G5-compute,medium,borderline:G3-l2-reuse↔G5-compute,13.1,0.189,284.95,31.7,57.3,0.775,1798.698,100.0,1.989,1.0,False,match
hb_fma,implicit_fma_kernel,G1-bandwidth,medium,borderline:G1-bandwidth↔G3-l2-reuse,54.0,0.201,234.51,16.6,91.3,1.907,3940.963,21.9,1.259,1.261,False,match
hb_fma,implicit_fma_kernel_rowwise,G3-l2-reuse,low,stable,12.3,0.079,464.72,29.8,22.6,0.477,14058.202,78.1,1.571,1.033,False,match
hb_fpc,fpc_kernel,G1-bandwidth,high,stable,95.7,0.982,141.86,8.0,86.5,2.063,16.245,50.01,1.321,1.358,False,match
hb_fpdc,CompressionKernel,G4-latency,medium,borderline:G1-bandwidth↔G4-latency,40.0,0.454,104.15,4.5,16.6,4.668,1000.097,100.0,1.661,1.079,False,mismatch
hb_fresnel,kernel,G5-compute,high,stable,3.5,0.039,32.41,8.0,37.2,4.936,19172.633,100.0,2.0,1.0,False,match
hb_fsm,FSMKernel,G1-bandwidth,high,stable,85.0,0.434,670.49,2.1,96.8,0.925,15616.899,100.0,1.058,1.269,False,match
hb_fsm,MaxKernel,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G4-latency,1.7,0.343,7240.85,1.0,2.1,0.001,0.022,0.0,1.522,1.052,True,
hb_fwt,fwtBatch2Kernel,G1-bandwidth,high,stable,94.8,0.503,544.36,4.0,89.2,0.857,549.566,77.1,1.006,1.356,False,match
hb_fwt,fwtBatch1Kernel,G1-bandwidth,high,stable,74.9,0.5,99.31,4.0,96.5,3.532,114.192,16.02,1.62,1.281,False,match
hb_fwt,modulateKernel,G1-bandwidth,low,stable,95.0,0.666,1261.67,4.0,95.4,0.267,49.049,6.88,1.002,1.357,False,match
hb_ga,ga,G7-dependency,medium,stable,0.5,0.189,2.47,1.5,16.7,283.695,294.9,100.0,2.002,1.0,False,match
hb_gamma_correction,gamma_correction,G1-bandwidth,high,stable,93.0,0.413,220.09,4.0,83.0,2.207,127.212,100.0,1.193,1.322,False,match
hb_gaussian,fan2,G1-bandwidth,medium,stable,87.3,0.354,223.84,5.7,73.1,2.024,1311.792,99.27,1.462,1.187,False,match
hb_gaussian,fan1,G2-coalescing,high,stable,14.4,0.475,974.41,31.9,13.3,0.391,9.618,0.73,1.532,1.036,True,
hb_gc,runSmall,G3-l2-reuse,medium,stable,18.0,0.093,26.71,4.0,83.5,6.078,6.6,52.01,1.919,1.001,False,match
hb_gc,init,G3-l2-reuse,medium,borderline:G1-bandwidth↔G3-l2-reuse,21.6,0.304,43.34,5.2,65.9,4.486,3.38,26.63,1.798,1.001,False,match
hb_gc,runLarge,G3-l2-reuse,medium,stable,1.0,0.231,40.52,3.8,52.4,9.637,2.71,21.36,1.867,0.996,False,match
hb_geam,transpose_readWrite_alignment_kernel,G1-bandwidth,high,stable,94.1,0.502,272.49,4.0,98.1,2.434,6476.934,100.0,1.014,1.353,False,match
hb_geglu,geglu_kernel,G1-bandwidth,high,stable,94.1,0.478,361.13,32.0,73.1,2.044,13406.897,100.0,1.008,1.36,False,match
hb_gels,geqrSolve_batch_kernel,G7-dependency,medium,stable,1.7,0.427,163.22,2.2,16.7,1.34,107.099,84.0,1.94,1.001,False,match
hb_gels,trsm_batch_left_upper_kernel_small,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G4-latency,2.2,0.335,1526.56,2.0,2.1,0.088,20.395,16.0,1.878,1.0,False,match
hb_gemv,gemv_quantized_int8,G1-bandwidth,high,stable,92.2,0.995,120.96,9.6,63.2,3.167,140.762,53.06,1.582,1.234,False,match
hb_graphExecution,reduce,G5-compute,high,stable,0.6,0.38,3.08,4.0,69.7,93.774,1361.224,99.82,1.985,1.002,False,match
hb_graphExecution,reduceFinal,G2-coalescing,medium,borderline:G2-coalescing↔G3-l2-reuse,1.6,0.426,683.94,8.0,14.8,0.671,2.422,0.18,1.7,1.027,True,
hb_groupnorm,groupnorm_forward_kernel,G1-bandwidth,low,stable,26.1,0.483,21.71,3.4,88.2,17.806,1.747,27.75,1.959,1.0,False,mismatch
hb_groupnorm,groupnorm_backward_kernel,G1-bandwidth,low,stable,33.0,0.631,24.75,4.0,86.8,17.684,2.811,44.66,1.974,1.0,False,mismatch
hb_groupnorm,groupnorm_forward_kernel2,G1-bandwidth,low,stable,39.6,0.582,30.46,3.4,88.2,12.007,1.736,27.59,1.962,1.0,False,mismatch
hb_gru,gru_cell_forward,G1-bandwidth,high,stable,94.8,0.529,134.01,2.0,89.8,2.924,1328.15,100.0,1.002,1.359,False,match
hb_haccmk,haccmk_kernel,G7-dependency,medium,stable,0.4,0.354,3.53,3.9,13.0,233.649,2348.41,100.0,1.953,1.0,False,match
hb_hadamard,fast_hadamard_transform_kernel,G3-l2-reuse,medium,borderline:G1-bandwidth↔G3-l2-reuse,4.6,0.327,17.0,1.0,37.7,0.774,436.278,100.0,1.587,1.226,False,mismatch
hb_hausdorff,computeDistance,G3-l2-reuse,medium,stable,0.4,0.071,0.28,1.0,89.3,2381.692,4555.645,100.0,1.986,1.0,False,match
hb_heat,solve,G1-bandwidth,medium,stable,83.9,0.256,244.68,8.4,86.8,2.336,1424.357,98.89,1.99,1.249,False,match
hb_heat,initial_value,G5-compute,low,stable,4.2,0.14,55.02,8.0,95.3,5.465,15.363,1.07,2.0,1.001,False,match
hb_heat,zero,G1-bandwidth,low,stable,93.5,0.001,535.41,8.0,73.2,0.431,0.605,0.04,1.03,1.359,True,
hb_heat2d,dev_lapl_iter,G1-bandwidth,medium,stable,83.9,0.255,63.89,4.4,84.0,9.716,713.558,100.0,1.737,1.281,False,match
hb_hellinger,hellinger,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G5-compute,1.0,0.029,0.76,4.0,99.4,559.004,2280.957,100.0,1.816,1.001,False,match
hb_hexciton,comm_empty,G7-dependency,medium,stable,0.8,0.229,576.17,0.0,16.1,0.0,0.906,0.05,1.6,1.0,True,
hb_histogram,histogram_smem_atomics,G1-bandwidth,low,stable,26.6,0.655,83.02,4.0,80.5,7.134,22.379,17.34,1.204,1.26,False,match
